account,in_degree,out_degree,total_sent,total_recv,txn_count,type
C1699873763,0,1,86070.17,0.0,1,customer
C1409933277,0,1,120074.73,0.0,1,customer
C2047521920,0,1,2930418.44,0.0,1,customer
C430329518,0,1,963532.14,0.0,1,customer
C1440057381,0,1,963532.14,0.0,1,customer
C77163673,0,1,1096187.24,0.0,1,customer
C1093223281,0,1,1096187.24,0.0,1,customer
C13692003,0,1,132842.64,0.0,1,customer
C1872047468,0,1,235238.66,0.0,1,customer
C395257482,0,1,14949.84,0.0,1,customer
C1984954272,0,1,10539.37,0.0,1,customer
C1134864869,0,1,10539.37,0.0,1,customer
C175961135,0,1,18627.02,0.0,1,customer
C1375503918,0,1,18627.02,0.0,1,customer
C2126545173,0,1,22877.0,0.0,1,customer
C1247938090,0,1,22877.0,0.0,1,customer
C788790720,0,1,17320.91,0.0,1,customer
C903383636,0,1,30521.02,0.0,1,customer
C158801009,0,1,85354.69,0.0,1,customer
C558400671,0,1,85354.69,0.0,1,customer
C365589282,0,1,10224.0,0.0,1,customer
C1284098442,0,1,10224.0,0.0,1,customer
C1484518113,0,1,17246.0,0.0,1,customer
C1034673425,0,1,17246.0,0.0,1,customer
C777407608,0,1,10565.0,0.0,1,customer
C1191732945,0,1,10565.0,0.0,1,customer
C436661284,0,1,17320.91,0.0,1,customer
C682812632,0,1,26768.5,0.0,1,customer
C1004271827,0,1,25975.86,0.0,1,customer
C457596841,0,1,26768.5,0.0,1,customer
C666642000,0,1,216422.0,0.0,1,customer
C1813769162,0,1,30521.02,0.0,1,customer
C1547714604,0,1,216422.0,0.0,1,customer
C383717053,0,1,262434.54,0.0,1,customer
C1588880909,0,1,5460002.91,0.0,1,customer
C666654362,0,1,5460002.91,0.0,1,customer
C1686905633,0,1,21729.0,0.0,1,customer
C693427358,0,1,21729.0,0.0,1,customer
C1421965867,0,1,13704.0,0.0,1,customer
C1735554279,0,1,13704.0,0.0,1,customer
C2101686389,0,1,262434.54,0.0,1,customer
C1455969984,0,1,164.0,0.0,1,customer
C1023505879,0,1,441445.58,0.0,1,customer
C452475723,0,1,21571.0,0.0,1,customer
C786114805,0,1,21571.0,0.0,1,customer
C1173659886,0,1,164.0,0.0,1,customer
C2102265902,0,1,181728.11,0.0,1,customer
C398085606,0,1,441445.58,0.0,1,customer
C1961506277,0,1,222.0,0.0,1,customer
C1737727444,0,1,222.0,0.0,1,customer
